"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",4.35429588161777,1.13226595610206,3.84564762205504,0.000120234450459226
"age",-0.0453436492551184,0.0142806993555956,-3.17517007578142,0.00149748703113093
"chol",-0.00137769140786835,0.00235322772717213,-0.585447550171408,0.558246824024272
"trestbps",-0.0103236409759942,0.00710569749669137,-1.45286806549268,0.146260389062369
